id;bank_account_no;bank_account_name;bank_branch;status;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;A;2019-10-16;2019-10-15T13:50:52;76949;2019-10-16;2019-10-16T05:29:04;96799
2;system;Buckinghamshire;Bouvet Island (Bouvetoya);A;2019-10-16;2019-10-15T11:36:19;48114;2019-10-16;2019-10-15T21:11:29;59388
3;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;C;2019-10-15;2019-10-16T09:54:30;76022;2019-10-16;2019-10-15T19:40:42;47316
4;Investment Account cross-platform;Configuration;parse infrastructures Mobility;I;2019-10-15;2019-10-16T08:49:09;84182;2019-10-15;2019-10-16T06:37:08;82794
5;override back-end hacking;open-source;payment National;H;2019-10-16;2019-10-15T17:34:55;81659;2019-10-15;2019-10-15T23:26:04;71378
6;Central Money Market Account;index Borders;customized;s;2019-10-15;2019-10-16T04:28:37;62423;2019-10-15;2019-10-16T07:10:05;43152
7;migration array Belize Dollar;optical;Borders reboot;m;2019-10-16;2019-10-15T17:00:22;24848;2019-10-15;2019-10-15T16:07:08;14312
8;salmon;connect USB scalable;Bosnia and Herzegovina generate Creek;s;2019-10-16;2019-10-15T22:18:04;22925;2019-10-16;2019-10-15T16:38:23;77188
9;Baby Credit Card Account Nevada;Persistent transparent Chips;front-end Intuitive vortals;C;2019-10-16;2019-10-15T12:05:21;58622;2019-10-16;2019-10-15T21:49:56;10079
10;Advanced bus;Security Virginia;solid state Clothing deposit;M;2019-10-15;2019-10-16T07:28:18;93436;2019-10-15;2019-10-15T11:45:36;91068
