id;tax_code;short_desc;long_desc;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Tools Stre;Arkansas reciprocal;Mountain Malaysia supply-chains;2019-10-16;2019-10-15T22:02:43;55964;2019-10-15;2019-10-16T06:14:52;10298
2;user-centr;Mobility;didactic Dynamic;2019-10-15;2019-10-16T00:09:50;80074;2019-10-16;2019-10-15T10:28:46;15615
3;bus withdr;Enterprise-wide;Moldovan Leu;2019-10-16;2019-10-15T19:41:33;10410;2019-10-16;2019-10-15T14:46:33;56944
4;THX;Re-contextualized Licensed;Producer;2019-10-15;2019-10-15T13:26:13;80685;2019-10-15;2019-10-15T10:52:13;39718
5;Belize Dol;Small deposit microchip;Music Salad North Carolina;2019-10-15;2019-10-15T17:04:44;89267;2019-10-15;2019-10-15T14:21:18;62476
6;end-to-end;Alaska solution-oriented;best-of-breed generate;2019-10-16;2019-10-15T23:30:24;86106;2019-10-16;2019-10-16T04:42:19;94845
7;transmit W;Agent Squares;supply-chains;2019-10-16;2019-10-15T21:40:29;26867;2019-10-15;2019-10-15T20:58:28;69884
8;incentiviz;navigating Liaison;Corporate Lari;2019-10-15;2019-10-16T09:31:56;82258;2019-10-15;2019-10-15T21:15:42;11775
9;Missouri a;Buckinghamshire microchip;Games;2019-10-16;2019-10-16T03:38:43;90001;2019-10-16;2019-10-15T13:00:01;73218
10;Phased pay;Towels Internal;seize generate;2019-10-15;2019-10-16T08:50:47;35387;2019-10-16;2019-10-15T10:58:00;73803
