id;cat_code;cat_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;2019-10-16;2019-10-15T22:41:11;63230;2019-10-15;2019-10-15T18:46:08;39882
2;bypassing optical;installation;2019-10-16;2019-10-15T17:16:27;4077;2019-10-15;2019-10-15T19:47:32;32595
3;red firewall open-source;deposit Sausages;2019-10-15;2019-10-16T00:25:54;38673;2019-10-15;2019-10-15T11:29:32;83771
4;Forint;Concrete Global SMS;2019-10-16;2019-10-16T04:29:18;65998;2019-10-16;2019-10-15T14:21:37;98216
5;Borders content-based;Tasty Customer Human;2019-10-15;2019-10-16T05:26:40;33902;2019-10-16;2019-10-16T01:35:33;70035
6;programming SCSI drive;invoice Unbranded Cheese;2019-10-15;2019-10-15T17:55:04;60642;2019-10-15;2019-10-16T09:45:09;37228
7;Branding;Home Gloves Latvia;2019-10-15;2019-10-15T23:12:41;65196;2019-10-15;2019-10-16T04:35:27;17592
8;Computers Bedfordshire Fish;payment calculating;2019-10-15;2019-10-16T02:34:48;56830;2019-10-15;2019-10-16T07:43:31;50881
9;withdrawal Ergonomic;Strategist target;2019-10-15;2019-10-15T12:13:38;63113;2019-10-15;2019-10-15T14:53:53;35007
10;payment Libyan Dinar;white sensor local;2019-10-16;2019-10-15T15:31:42;64547;2019-10-16;2019-10-16T05:43:22;99455
